============================================================
Phase 1: CTF Exchange (standard markets)
============================================================
Indexing ctf events from block 50672000 to 85042596 (34370596 blocks)
  [ctf] Block 51551999/85042596 (2.6%) | fills=27838 matches=11591
  [ctf] Block 51561999/85042596 (2.6%) | fills=28103 matches=11709
  [ctf] Block 51571999/85042596 (2.6%) | fills=28307 matches=11795
  [ctf] Block 51581999/85042596 (2.6%) | fills=28482 matches=11872
  [ctf] Block 51591999/85042596 (2.7%) | fills=28702 matches=11968
  [ctf] Block 51601999/85042596 (2.7%) | fills=28930 matches=12065
  [ctf] Block 51611999/85042596 (2.7%) | fills=29241 matches=12184
  [ctf] Block 51621999/85042596 (2.8%) | fills=29435 matches=12270
  [ctf] Block 51631999/85042596 (2.8%) | fills=29774 matches=12411
  [ctf] Block 51641999/85042596 (2.8%) | fills=30153 matches=12578
  [ctf] Block 51651999/85042596 (2.9%) | fills=30371 matches=12669
  [ctf] Block 51661999/85042596 (2.9%) | fills=30611 matches=12768
  [ctf] Block 51671999/85042596 (2.9%) | fills=31004 matches=12932
  [ctf] Block 51681999/85042596 (2.9%) | fills=31392 matches=13086
  [ctf] Block 51691999/85042596 (3.0%) | fills=31682 matches=13201
  [ctf] Block 51701999/85042596 (3.0%) | fills=32020 matches=13342
  [ctf] Block 51711999/85042596 (3.0%) | fills=32344 matches=13482
  [ctf] Block 51721999/85042596 (3.1%) | fills=32575 matches=13580
  [ctf] Block 51731999/85042596 (3.1%) | fills=32809 matches=13677
  [ctf] Block 51741999/85042596 (3.1%) | fills=33148 matches=13813
  [ctf] Block 51751999/85042596 (3.1%) | fills=33495 matches=13947
  [ctf] Block 51761999/85042596 (3.2%) | fills=33721 matches=14033
  [ctf] Block 51771999/85042596 (3.2%) | fills=33948 matches=14126
  [ctf] Block 51781999/85042596 (3.2%) | fills=34207 matches=14230
  [ctf] Block 51791999/85042596 (3.3%) | fills=34571 matches=14370
  [ctf] Block 51801999/85042596 (3.3%) | fills=34925 matches=14490
  [ctf] Block 51811999/85042596 (3.3%) | fills=35183 matches=14592
  [ctf] Block 51821999/85042596 (3.3%) | fills=35561 matches=14748
  [ctf] Block 51831999/85042596 (3.4%) | fills=36108 matches=14971
  [ctf] Block 51841999/85042596 (3.4%) | fills=36520 matches=15145
  [ctf] Block 51851999/85042596 (3.4%) | fills=36928 matches=15297
  [ctf] Block 51861999/85042596 (3.5%) | fills=37444 matches=15501
  [ctf] Block 51871999/85042596 (3.5%) | fills=38163 matches=15793
  [ctf] Block 51881999/85042596 (3.5%) | fills=38634 matches=15977
  [ctf] Block 51891999/85042596 (3.5%) | fills=39202 matches=16194
  [ctf] Block 51901999/85042596 (3.6%) | fills=40148 matches=16589
  [ctf] Block 51911999/85042596 (3.6%) | fills=41112 matches=16983
  [ctf] Block 51921999/85042596 (3.6%) | fills=41692 matches=17217
  [ctf] Block 51931999/85042596 (3.7%) | fills=42320 matches=17467
  [ctf] Block 51941999/85042596 (3.7%) | fills=43059 matches=17750
  [ctf] Block 51951999/85042596 (3.7%) | fills=44082 matches=18132
  [ctf] Block 51961999/85042596 (3.8%) | fills=44812 matches=18403
  [ctf] Block 51971999/85042596 (3.8%) | fills=45540 matches=18682
  [ctf] Block 51981999/85042596 (3.8%) | fills=46404 matches=19018
  [ctf] Block 51991999/85042596 (3.8%) | fills=47097 matches=19273
  [ctf] Block 52001999/85042596 (3.9%) | fills=47657 matches=19478
  [ctf] Block 52011999/85042596 (3.9%) | fills=48052 matches=19648
  [ctf] Block 52021999/85042596 (3.9%) | fills=48572 matches=19866
  [ctf] Block 52031999/85042596 (4.0%) | fills=49153 matches=20105
  [ctf] Block 52041999/85042596 (4.0%) | fills=49688 matches=20299
  [ctf] Block 52051999/85042596 (4.0%) | fills=50236 matches=20476
  [ctf] Block 52061999/85042596 (4.0%) | fills=50828 matches=20696
  [ctf] Block 52071999/85042596 (4.1%) | fills=51395 matches=20896
  [ctf] Block 52081999/85042596 (4.1%) | fills=51934 matches=21111
  [ctf] Block 52091999/85042596 (4.1%) | fills=52838 matches=21447
  [ctf] Block 52101999/85042596 (4.2%) | fills=53958 matches=21861
  [ctf] Block 52111999/85042596 (4.2%) | fills=54701 matches=22163
  [ctf] Block 52121999/85042596 (4.2%) | fills=55302 matches=22408
  [ctf] Block 52131999/85042596 (4.2%) | fills=56081 matches=22719
  [ctf] Block 52141999/85042596 (4.3%) | fills=57868 matches=23407
  [ctf] Block 52151999/85042596 (4.3%) | fills=58720 matches=23732
  [ctf] Block 52161999/85042596 (4.3%) | fills=59828 matches=24154
  [ctf] Block 52171999/85042596 (4.4%) | fills=61990 matches=24955
  [ctf] Block 52181999/85042596 (4.4%) | fills=63816 matches=25680
  [ctf] Block 52191999/85042596 (4.4%) | fills=64395 matches=25915
  [ctf] Block 52201999/85042596 (4.5%) | fills=64972 matches=26163
  [ctf] Block 52211999/85042596 (4.5%) | fills=65527 matches=26389
  [ctf] Block 52221999/85042596 (4.5%) | fills=66139 matches=26622
  [ctf] Block 52231999/85042596 (4.5%) | fills=66668 matches=26838
  [ctf] Block 52241999/85042596 (4.6%) | fills=67520 matches=27172
  [ctf] Block 52251999/85042596 (4.6%) | fills=68334 matches=27484
  [ctf] Block 52261999/85042596 (4.6%) | fills=69266 matches=27847
  [ctf] Block 52271999/85042596 (4.7%) | fills=70480 matches=28341
  [ctf] Block 52281999/85042596 (4.7%) | fills=71051 matches=28575
  [ctf] Block 52291999/85042596 (4.7%) | fills=71477 matches=28753
  [ctf] Block 52301999/85042596 (4.7%) | fills=71866 matches=28919
  [ctf] Block 52311999/85042596 (4.8%) | fills=72123 matches=29022
  [ctf] Block 52321999/85042596 (4.8%) | fills=72457 matches=29154
  [ctf] Block 52331999/85042596 (4.8%) | fills=72883 matches=29337
  [ctf] Block 52341999/85042596 (4.9%) | fills=73174 matches=29459
  [ctf] Block 52351999/85042596 (4.9%) | fills=73341 matches=29531
  [ctf] Block 52361999/85042596 (4.9%) | fills=73553 matches=29609
  [ctf] Block 52371999/85042596 (4.9%) | fills=73901 matches=29749
  [ctf] Block 52381999/85042596 (5.0%) | fills=74303 matches=29920
  [ctf] Block 52391999/85042596 (5.0%) | fills=74552 matches=30030
  [ctf] Block 52401999/85042596 (5.0%) | fills=75007 matches=30196
  [ctf] Block 52411999/85042596 (5.1%) | fills=75258 matches=30301
  [ctf] Block 52421999/85042596 (5.1%) | fills=75585 matches=30426
